NVRVD : 0 -> 3 , needed 17 , made 20 ore: 0 -> 695
MNCFX : 5 -> 5 , needed 6 , made 6 ore: 154248 -> 154393
VJHF : 5 -> 1 , needed 22 , made 18 ore: 154393 -> 154921
MNCFX : 5 -> 4 , needed 37 , made 36 ore: 154921 -> 155791
CXFTF : 2 -> 7 , needed 19 , made 24 ore: 155791 -> 155794
MNCFX : 4 -> 5 , needed 5 , made 6 ore: 155794 -> 155939
VJHF : 1 -> 0 , needed 1 , made 0 ore: 155939 -> 155939
MNCFX : 5 -> 5 , needed 6 , made 6 ore: 155939 -> 156084
VJHF : 0 -> 5 , needed 1 , made 6 ore: 156084 -> 156260
MNCFX : 5 -> 5 , needed 6 , made 6 ore: 156260 -> 156405
CXFTF : 7 -> 4 , needed 19 , made 16 ore: 156405 -> 156407
MNCFX : 5 -> 0 , needed 5 , made 0 ore: 156407 -> 156407
VJHF : 5 -> 4 , needed 1 , made 0 ore: 156407 -> 156407
MNCFX : 0 -> 0 , needed 6 , made 6 ore: 156407 -> 156552
VJHF : 4 -> 3 , needed 1 , made 0 ore: 156552 -> 156552
MNCFX : 0 -> 0 , needed 6 , made 6 ore: 156552 -> 156697
VJHF : 3 -> 5 , needed 22 , made 24 ore: 156697 -> 157401
MNCFX : 0 -> 5 , needed 37 , made 42 ore: 157401 -> 158416
CXFTF : 4 -> 1 , needed 19 , made 16 ore: 158416 -> 158418
MNCFX : 5 -> 0 , needed 5 , made 0 ore: 158418 -> 158418
VJHF : 5 -> 4 , needed 1 , made 0 ore: 158418 -> 158418
MNCFX : 0 -> 0 , needed 6 , made 6 ore: 158418 -> 158563
NVRVD : 3 -> 2 , needed 17 , made 16 ore: 158563 -> 159119
JNWZP : 5 -> 2 , needed 3 , made 0 ore: 159119 -> 159119
CXFTF : 1 -> 6 , needed 19 , made 24 ore: 159119 -> 159122
MNCFX : 0 -> 1 , needed 5 , made 6 ore: 159122 -> 159267
VJHF : 4 -> 3 , needed 1 , made 0 ore: 159267 -> 159267
MNCFX : 1 -> 1 , needed 6 , made 6 ore: 159267 -> 159412
VJHF : 3 -> 2 , needed 1 , made 0 ore: 159412 -> 159412
MNCFX : 1 -> 1 , needed 6 , made 6 ore: 159412 -> 159557
CXFTF : 6 -> 3 , needed 19 , made 16 ore: 159557 -> 159559
MNCFX : 1 -> 2 , needed 5 , made 6 ore: 159559 -> 159704
VJHF : 2 -> 1 , needed 1 , made 0 ore: 159704 -> 159704
MNCFX : 2 -> 2 , needed 6 , made 6 ore: 159704 -> 159849
VJHF : 1 -> 0 , needed 1 , made 0 ore: 159849 -> 159849
MNCFX : 2 -> 2 , needed 6 , made 6 ore: 159849 -> 159994
VJHF : 0 -> 2 , needed 22 , made 24 ore: 159994 -> 160698
MNCFX : 2 -> 1 , needed 37 , made 36 ore: 160698 -> 161568
CXFTF : 3 -> 0 , needed 19 , made 16 ore: 161568 -> 161570
MNCFX : 1 -> 2 , needed 5 , made 6 ore: 161570 -> 161715
VJHF : 2 -> 1 , needed 1 , made 0 ore: 161715 -> 161715
MNCFX : 2 -> 2 , needed 6 , made 6 ore: 161715 -> 161860
VJHF : 1 -> 0 , needed 1 , made 0 ore: 161860 -> 161860
MNCFX : 2 -> 2 , needed 6 , made 6 ore: 161860 -> 162005
CXFTF : 0 -> 5 , needed 19 , made 24 ore: 162005 -> 162008
MNCFX : 2 -> 3 , needed 5 , made 6 ore: 162008 -> 162153
VJHF : 0 -> 5 , needed 1 , made 6 ore: 162153 -> 162329
MNCFX : 3 -> 3 , needed 6 , made 6 ore: 162329 -> 162474
VJHF : 5 -> 1 , needed 22 , made 18 ore: 162474 -> 163002
MNCFX : 3 -> 2 , needed 37 , made 36 ore: 163002 -> 163872
NVRVD : 2 -> 1 , needed 17 , made 16 ore: 163872 -> 164428
JNWZP : 2 -> 6 , needed 3 , made 7 ore: 164428 -> 164572
CXFTF : 5 -> 2 , needed 19 , made 16 ore: 164572 -> 164574
MNCFX : 2 -> 3 , needed 5 , made 6 ore: 164574 -> 164719
VJHF : 1 -> 0 , needed 1 , made 0 ore: 164719 -> 164719
MNCFX : 3 -> 3 , needed 6 , made 6 ore: 164719 -> 164864
VJHF : 0 -> 5 , needed 1 , made 6 ore: 164864 -> 165040
MNCFX : 3 -> 3 , needed 6 , made 6 ore: 165040 -> 165185
CXFTF : 2 -> 7 , needed 19 , made 24 ore: 165185 -> 165188
MNCFX : 3 -> 4 , needed 5 , made 6 ore: 165188 -> 165333
VJHF : 5 -> 4 , needed 1 , made 0 ore: 165333 -> 165333
MNCFX : 4 -> 4 , needed 6 , made 6 ore: 165333 -> 165478
VJHF : 4 -> 3 , needed 1 , made 0 ore: 165478 -> 165478
MNCFX : 4 -> 4 , needed 6 , made 6 ore: 165478 -> 165623
CXFTF : 7 -> 4 , needed 19 , made 16 ore: 165623 -> 165625
MNCFX : 4 -> 5 , needed 5 , made 6 ore: 165625 -> 165770
VJHF : 3 -> 2 , needed 1 , made 0 ore: 165770 -> 165770
MNCFX : 5 -> 5 , needed 6 , made 6 ore: 165770 -> 165915
VJHF : 2 -> 1 , needed 1 , made 0 ore: 165915 -> 165915
MNCFX : 5 -> 5 , needed 6 , made 6 ore: 165915 -> 166060
VJHF : 1 -> 3 , needed 22 , made 24 ore: 166060 -> 166764
MNCFX : 5 -> 4 , needed 37 , made 36 ore: 166764 -> 167634
CXFTF : 4 -> 1 , needed 19 , made 16 ore: 167634 -> 167636
MNCFX : 4 -> 5 , needed 5 , made 6 ore: 167636 -> 167781
VJHF : 3 -> 2 , needed 1 , made 0 ore: 167781 -> 167781
MNCFX : 5 -> 5 , needed 6 , made 6 ore: 167781 -> 167926
NVRVD : 1 -> 0 , needed 17 , made 16 ore: 167926 -> 168482
JNWZP : 6 -> 3 , needed 3 , made 0 ore: 168482 -> 168482
CXFTF : 1 -> 6 , needed 19 , made 24 ore: 168482 -> 168485
MNCFX : 5 -> 0 , needed 5 , made 0 ore: 168485 -> 168485
VJHF : 2 -> 1 , needed 1 , made 0 ore: 168485 -> 168485
MNCFX : 0 -> 0 , needed 6 , made 6 ore: 168485 -> 168630
VJHF : 1 -> 0 , needed 1 , made 0 ore: 168630 -> 168630
MNCFX : 0 -> 0 , needed 6 , made 6 ore: 168630 -> 168775
VJHF : 0 -> 2 , needed 22 , made 24 ore: 168775 -> 169479
MNCFX : 0 -> 5 , needed 37 , made 42 ore: 169479 -> 170494
CXFTF : 6 -> 3 , needed 19 , made 16 ore: 170494 -> 170496
MNCFX : 5 -> 0 , needed 5 , made 0 ore: 170496 -> 170496
VJHF : 2 -> 1 , needed 1 , made 0 ore: 170496 -> 170496
MNCFX : 0 -> 0 , needed 6 , made 6 ore: 170496 -> 170641
VJHF : 1 -> 0 , needed 1 , made 0 ore: 170641 -> 170641
MNCFX : 0 -> 0 , needed 6 , made 6 ore: 170641 -> 170786
CXFTF : 3 -> 0 , needed 19 , made 16 ore: 170786 -> 170788
MNCFX : 0 -> 1 , needed 5 , made 6 ore: 170788 -> 170933
VJHF : 0 -> 5 , needed 1 , made 6 ore: 170933 -> 171109
MNCFX : 1 -> 1 , needed 6 , made 6 ore: 171109 -> 171254
VJHF : 5 -> 4 , needed 1 , made 0 ore: 171254 -> 171254
MNCFX : 1 -> 1 , needed 6 , made 6 ore: 171254 -> 171399
CXFTF : 0 -> 5 , needed 19 , made 24 ore: 171399 -> 171402
CXFTF : 5 -> 1 , needed 68 , made 64 ore: 171402 -> 171410
VJHF : 4 -> 5 , needed 5 , made 6 ore: 171410 -> 171586
MNCFX : 1 -> 0 , needed 7 , made 6 ore: 171586 -> 171731
NVRVD : 0 -> 3 , needed 17 , made 20 ore: 171731 -> 172426
JNWZP : 3 -> 0 , needed 3 , made 0 ore: 172426 -> 172426
NVRVD : 3 -> 2 , needed 17 , made 16 ore: 172426 -> 172982
JNWZP : 0 -> 4 , needed 3 , made 7 ore: 172982 -> 173126
CXFTF : 1 -> 4 , needed 37 , made 40 ore: 173126 -> 173131
VJHF : 5 -> 0 , needed 5 , made 0 ore: 173131 -> 173131
MNCFX : 0 -> 5 , needed 7 , made 12 ore: 173131 -> 173421
NVRVD : 2 -> 1 , needed 17 , made 16 ore: 173421 -> 173977
JNWZP : 4 -> 1 , needed 3 , made 0 ore: 173977 -> 173977
CXFTF : 4 -> 7 , needed 37 , made 40 ore: 173977 -> 173982
VJHF : 0 -> 1 , needed 5 , made 6 ore: 173982 -> 174158
MNCFX : 5 -> 4 , needed 7 , made 6 ore: 174158 -> 174303
NVRVD : 1 -> 0 , needed 17 , made 16 ore: 174303 -> 174859
JNWZP : 1 -> 5 , needed 3 , made 7 ore: 174859 -> 175003
CXFTF : 7 -> 2 , needed 37 , made 32 ore: 175003 -> 175007
VJHF : 1 -> 2 , needed 5 , made 6 ore: 175007 -> 175183
MNCFX : 4 -> 3 , needed 7 , made 6 ore: 175183 -> 175328
NVRVD : 0 -> 3 , needed 17 , made 20 ore: 175328 -> 176023
JNWZP : 5 -> 2 , needed 3 , made 0 ore: 176023 -> 176023
CXFTF : 2 -> 5 , needed 37 , made 40 ore: 176023 -> 176028
VJHF : 2 -> 3 , needed 5 , made 6 ore: 176028 -> 176204
MNCFX : 3 -> 2 , needed 7 , made 6 ore: 176204 -> 176349
NVRVD : 3 -> 2 , needed 17 , made 16 ore: 176349 -> 176905
JNWZP : 2 -> 6 , needed 3 , made 7 ore: 176905 -> 177049
CXFTF : 5 -> 0 , needed 37 , made 32 ore: 177049 -> 177053
totalOre= 177053
