Started
2019 day 12:
.....
0 : pos=<x= 2 , y= -1 , z= 1 >, vel=<x= 3 , y= -1 , z= -1 >
3 : pos=<x= 3 , y= -9 , z= 0 >, vel=<x= 1 , y= -2 , z= 4 >
found velocity and position match, step #: 191
0 : pos=<x= -1 , y= -6 , z= -4 >, vel=<x= 0 , y= 2 , z= -5 >
1 : pos=<x= 4 , y= 0 , z= -1 >, vel=<x= 1 , y= -1 , z= 1 >
2 : pos=<x= 2 , y= 1 , z= 2 >, vel=<x= -1 , y= -2 , z= -1 >
3 : pos=<x= 3 , y= -8 , z= 5 >, vel=<x= 0 , y= 1 , z= 5 >
found velocity and position match, step #: 192
0 : pos=<x= 2 , y= -3 , z= -6 >, vel=<x= 3 , y= 3 , z= -2 >
1 : pos=<x= 2 , y= -2 , z= 1 >, vel=<x= -2 , y= -2 , z= 2 >
2 : pos=<x= 2 , y= -4 , z= 0 >, vel=<x= 0 , y= -5 , z= -2 >
3 : pos=<x= 2 , y= -4 , z= 7 >, vel=<x= -1 , y= 4 , z= 2 >
found velocity and position match, step #: 193
0 : pos=<x= 5 , y= -1 , z= -5 >, vel=<x= 3 , y= 2 , z= 1 >
1 : pos=<x= 0 , y= -7 , z= 2 >, vel=<x= -2 , y= -5 , z= 1 >
2 : pos=<x= 2 , y= -7 , z= -1 >, vel=<x= 0 , y= -3 , z= -1 >
3 : pos=<x= 1 , y= 2 , z= 6 >, vel=<x= -1 , y= 6 , z= -1 >
found velocity and position match, step #: 194
0 : pos=<x= 5 , y= 0 , z= -1 >, vel=<x= 0 , y= 1 , z= 4 >
1 : pos=<x= 1 , y= -10 , z= 2 >, vel=<x= 1 , y= -3 , z= 0 >
2 : pos=<x= 1 , y= -8 , z= -1 >, vel=<x= -1 , y= -1 , z= 0 >
3 : pos=<x= 1 , y= 5 , z= 2 >, vel=<x= 0 , y= 3 , z= -4 >
found velocity and position match, step #: 195
0 : pos=<x= 2 , y= 0 , z= 5 >, vel=<x= -3 , y= 0 , z= 6 >
1 : pos=<x= 3 , y= -10 , z= 0 >, vel=<x= 2 , y= 0 , z= -2 >
2 : pos=<x= 1 , y= -8 , z= 1 >, vel=<x= 0 , y= 0 , z= 2 >
3 : pos=<x= 2 , y= 5 , z= -4 >, vel=<x= 1 , y= 0 , z= -6 >
found velocity and position match, step #: 196
0 : pos=<x= -1 , y= -1 , z= 8 >, vel=<x= -3 , y= -1 , z= 3 >
1 : pos=<x= 2 , y= -7 , z= -1 >, vel=<x= -1 , y= 3 , z= -1 >
2 : pos=<x= 4 , y= -7 , z= 2 >, vel=<x= 3 , y= 1 , z= 1 >
3 : pos=<x= 3 , y= 2 , z= -7 >, vel=<x= 1 , y= -3 , z= -3 >
found velocity and position match, step #: 197
0 : pos=<x= -1 , y= -3 , z= 8 >, vel=<x= 0 , y= -2 , z= 0 >
1 : pos=<x= 2 , y= -2 , z= -1 >, vel=<x= 0 , y= 5 , z= 0 >
2 : pos=<x= 4 , y= -4 , z= 2 >, vel=<x= 0 , y= 3 , z= 0 >
3 : pos=<x= 3 , y= -4 , z= -7 >, vel=<x= 0 , y= -6 , z= 0 >
found velocity and position match, step #: 198
0 : pos=<x= 2 , y= -6 , z= 5 >, vel=<x= 3 , y= -3 , z= -3 >
1 : pos=<x= 3 , y= 0 , z= 0 >, vel=<x= 1 , y= 2 , z= 1 >
2 : pos=<x= 1 , y= 1 , z= 1 >, vel=<x= -3 , y= 5 , z= -1 >
3 : pos=<x= 2 , y= -8 , z= -4 >, vel=<x= -1 , y= -4 , z= 3 >
found velocity and position match, step #: 199
0 : pos=<x= 5 , y= -8 , z= -1 >, vel=<x= 3 , y= -2 , z= -6 >
1 : pos=<x= 1 , y= 1 , z= 2 >, vel=<x= -2 , y= 1 , z= 2 >
2 : pos=<x= 1 , y= 3 , z= -1 >, vel=<x= 0 , y= 2 , z= -2 >
3 : pos=<x= 1 , y= -9 , z= 2 >, vel=<x= -1 , y= -1 , z= 6 >
found velocity and position match, step #: 200
0 : pos=<x= 5 , y= -9 , z= -5 >, vel=<x= 0 , y= -1 , z= -4 >
1 : pos=<x= 0 , y= 1 , z= 2 >, vel=<x= -1 , y= 0 , z= 0 >
2 : pos=<x= 2 , y= 2 , z= -1 >, vel=<x= 1 , y= -1 , z= 0 >
3 : pos=<x= 1 , y= -7 , z= 6 >, vel=<x= 0 , y= 2 , z= 4 >
found velocity and position match, step #: 201
0 : pos=<x= 2 , y= -7 , z= -6 >, vel=<x= -3 , y= 2 , z= -1 >
1 : pos=<x= 2 , y= 0 , z= 1 >, vel=<x= 2 , y= -1 , z= -1 >
2 : pos=<x= 2 , y= -2 , z= 0 >, vel=<x= 0 , y= -4 , z= 1 >
3 : pos=<x= 2 , y= -4 , z= 7 >, vel=<x= 1 , y= 3 , z= 1 >
found velocity and position match, step #: 202
0 : pos=<x= -1 , y= -2 , z= -4 >, vel=<x= -3 , y= 5 , z= 2 >
1 : pos=<x= 4 , y= -4 , z= -1 >, vel=<x= 2 , y= -4 , z= -2 >
2 : pos=<x= 2 , y= -7 , z= 2 >, vel=<x= 0 , y= -5 , z= 2 >
3 : pos=<x= 3 , y= 0 , z= 5 >, vel=<x= 1 , y= 4 , z= -2 >
found velocity and position match, step #: 203
0 : pos=<x= -1 , y= 2 , z= 1 >, vel=<x= 0 , y= 4 , z= 5 >
1 : pos=<x= 3 , y= -7 , z= -2 >, vel=<x= -1 , y= -3 , z= -1 >
2 : pos=<x= 3 , y= -9 , z= 3 >, vel=<x= 1 , y= -2 , z= 1 >
3 : pos=<x= 3 , y= 1 , z= 0 >, vel=<x= 0 , y= 1 , z= -5 >
found velocity and position match, step #: 204
0 : pos=<x= 2 , y= 3 , z= 5 >, vel=<x= 3 , y= 1 , z= 4 >
1 : pos=<x= 1 , y= -9 , z= 0 >, vel=<x= -2 , y= -2 , z= 2 >
2 : pos=<x= 3 , y= -8 , z= 1 >, vel=<x= 0 , y= 1 , z= -2 >
3 : pos=<x= 2 , y= 1 , z= -4 >, vel=<x= -1 , y= 0 , z= -4 >
found velocity and position match, step #: 205
0 : pos=<x= 5 , y= 1 , z= 6 >, vel=<x= 3 , y= -2 , z= 1 >
1 : pos=<x= 2 , y= -8 , z= 3 >, vel=<x= 1 , y= 1 , z= 3 >
2 : pos=<x= 0 , y= -6 , z= -2 >, vel=<x= -3 , y= 2 , z= -3 >
3 : pos=<x= 1 , y= 0 , z= -5 >, vel=<x= -1 , y= -1 , z= -1 >
found velocity and position match, step #: 206
0 : pos=<x= 5 , y= -4 , z= 4 >, vel=<x= 0 , y= -5 , z= -2 >
1 : pos=<x= 2 , y= -4 , z= 5 >, vel=<x= 0 , y= 4 , z= 2 >
2 : pos=<x= 0 , y= -3 , z= -4 >, vel=<x= 0 , y= 3 , z= -2 >
3 : pos=<x= 1 , y= -2 , z= -3 >, vel=<x= 0 , y= -2 , z= 2 >
found velocity and position match, step #: 207
0 : pos=<x= 2 , y= -7 , z= 1 >, vel=<x= -3 , y= -3 , z= -3 >
1 : pos=<x= 1 , y= 2 , z= 4 >, vel=<x= -1 , y= 6 , z= -1 >
2 : pos=<x= 3 , y= -1 , z= -3 >, vel=<x= 3 , y= 2 , z= 1 >
3 : pos=<x= 2 , y= -7 , z= 0 >, vel=<x= 1 , y= -5 , z= 3 >
found velocity and position match, step #: 208
0 : pos=<x= -1 , y= -8 , z= -3 >, vel=<x= -3 , y= -1 , z= -4 >
1 : pos=<x= 3 , y= 5 , z= 0 >, vel=<x= 2 , y= 3 , z= -4 >
2 : pos=<x= 3 , y= 0 , z= 1 >, vel=<x= 0 , y= 1 , z= 4 >
3 : pos=<x= 3 , y= -10 , z= 4 >, vel=<x= 1 , y= -3 , z= 4 >
found velocity and position match, step #: 209
0 : pos=<x= -1 , y= -8 , z= -4 >, vel=<x= 0 , y= 0 , z= -1 >
1 : pos=<x= 4 , y= 5 , z= -3 >, vel=<x= 1 , y= 0 , z= -3 >
2 : pos=<x= 2 , y= 0 , z= 4 >, vel=<x= -1 , y= 0 , z= 3 >
3 : pos=<x= 3 , y= -10 , z= 5 >, vel=<x= 0 , y= 0 , z= 1 >
found velocity and position match, step #: 210
0 : pos=<x= 2 , y= -7 , z= -2 >, vel=<x= 3 , y= 1 , z= 2 >
1 : pos=<x= 2 , y= 2 , z= -5 >, vel=<x= -2 , y= -3 , z= -2 >
2 : pos=<x= 2 , y= -1 , z= 6 >, vel=<x= 0 , y= -1 , z= 2 >
3 : pos=<x= 2 , y= -7 , z= 3 >, vel=<x= -1 , y= 3 , z= -2 >
found velocity and position match, step #: 211
0 : pos=<x= 5 , y= -4 , z= 1 >, vel=<x= 3 , y= 3 , z= 3 >
1 : pos=<x= 0 , y= -4 , z= -4 >, vel=<x= -2 , y= -6 , z= 1 >
2 : pos=<x= 2 , y= -3 , z= 5 >, vel=<x= 0 , y= -2 , z= -1 >
3 : pos=<x= 1 , y= -2 , z= 0 >, vel=<x= -1 , y= 5 , z= -3 >
found velocity and position match, step #: 212
0 : pos=<x= 5 , y= 1 , z= 3 >, vel=<x= 0 , y= 5 , z= 2 >
1 : pos=<x= 1 , y= -8 , z= 0 >, vel=<x= 1 , y= -4 , z= 4 >
2 : pos=<x= 1 , y= -6 , z= 1 >, vel=<x= -1 , y= -3 , z= -4 >
3 : pos=<x= 1 , y= 0 , z= -2 >, vel=<x= 0 , y= 2 , z= -2 >
found velocity and position match, step #: 213
0 : pos=<x= 2 , y= 3 , z= 2 >, vel=<x= -3 , y= 2 , z= -1 >
1 : pos=<x= 3 , y= -9 , z= 5 >, vel=<x= 2 , y= -1 , z= 5 >
2 : pos=<x= 1 , y= -8 , z= -4 >, vel=<x= 0 , y= -2 , z= -5 >
3 : pos=<x= 2 , y= 1 , z= -1 >, vel=<x= 1 , y= 1 , z= 1 >
found velocity and position match, step #: 214
0 : pos=<x= -1 , y= 2 , z= 0 >, vel=<x= -3 , y= -1 , z= -2 >
1 : pos=<x= 2 , y= -7 , z= 7 >, vel=<x= -1 , y= 2 , z= 2 >
2 : pos=<x= 4 , y= -9 , z= -6 >, vel=<x= 3 , y= -1 , z= -2 >
3 : pos=<x= 3 , y= 1 , z= 1 >, vel=<x= 1 , y= 0 , z= 2 >
found velocity and position match, step #: 215
0 : pos=<x= -1 , y= -2 , z= -1 >, vel=<x= 0 , y= -4 , z= -1 >
1 : pos=<x= 2 , y= -4 , z= 6 >, vel=<x= 0 , y= 3 , z= -1 >
2 : pos=<x= 4 , y= -7 , z= -5 >, vel=<x= 0 , y= 2 , z= 1 >
3 : pos=<x= 3 , y= 0 , z= 2 >, vel=<x= 0 , y= -1 , z= 1 >
found velocity and position match, step #: 216
0 : pos=<x= 2 , y= -7 , z= -1 >, vel=<x= 3 , y= -5 , z= 0 >
1 : pos=<x= 3 , y= 0 , z= 2 >, vel=<x= 1 , y= 4 , z= -4 >
2 : pos=<x= 1 , y= -2 , z= -1 >, vel=<x= -3 , y= 5 , z= 4 >
3 : pos=<x= 2 , y= -4 , z= 2 >, vel=<x= -1 , y= -4 , z= 0 >
found velocity and position match, step #: 217
0 : pos=<x= 5 , y= -9 , z= 1 >, vel=<x= 3 , y= -2 , z= 2 >
1 : pos=<x= 1 , y= 1 , z= -4 >, vel=<x= -2 , y= 1 , z= -6 >
2 : pos=<x= 1 , y= 2 , z= 5 >, vel=<x= 0 , y= 4 , z= 6 >
3 : pos=<x= 1 , y= -7 , z= 0 >, vel=<x= -1 , y= -3 , z= -2 >
found velocity and position match, step #: 218
0 : pos=<x= 5 , y= -8 , z= 2 >, vel=<x= 0 , y= 1 , z= 1 >
1 : pos=<x= 0 , y= 1 , z= -7 >, vel=<x= -1 , y= 0 , z= -3 >
2 : pos=<x= 2 , y= 3 , z= 8 >, vel=<x= 1 , y= 1 , z= 3 >
3 : pos=<x= 1 , y= -9 , z= -1 >, vel=<x= 0 , y= -2 , z= -1 >
found velocity and position match, step #: 219
0 : pos=<x= 2 , y= -6 , z= 2 >, vel=<x= -3 , y= 2 , z= 0 >
1 : pos=<x= 2 , y= 0 , z= -7 >, vel=<x= 2 , y= -1 , z= 0 >
2 : pos=<x= 2 , y= 1 , z= 8 >, vel=<x= 0 , y= -2 , z= 0 >
3 : pos=<x= 2 , y= -8 , z= -1 >, vel=<x= 1 , y= 1 , z= 0 >
found velocity and position match, step #: 220
0 : pos=<x= -1 , y= -3 , z= 1 >, vel=<x= -3 , y= 3 , z= -1 >
1 : pos=<x= 4 , y= -2 , z= -4 >, vel=<x= 2 , y= -2 , z= 3 >
2 : pos=<x= 2 , y= -4 , z= 5 >, vel=<x= 0 , y= -5 , z= -3 >
3 : pos=<x= 3 , y= -4 , z= 0 >, vel=<x= 1 , y= 4 , z= 1 >
found velocity and position match, step #: 221
0 : pos=<x= -1 , y= -1 , z= -1 >, vel=<x= 0 , y= 2 , z= -2 >
1 : pos=<x= 3 , y= -7 , z= 2 >, vel=<x= -1 , y= -5 , z= 6 >
2 : pos=<x= 3 , y= -7 , z= -1 >, vel=<x= 1 , y= -3 , z= -6 >
3 : pos=<x= 3 , y= 2 , z= 2 >, vel=<x= 0 , y= 6 , z= 2 >
found velocity and position match, step #: 222
0 : pos=<x= 2 , y= 0 , z= -1 >, vel=<x= 3 , y= 1 , z= 0 >
1 : pos=<x= 1 , y= -10 , z= 6 >, vel=<x= -2 , y= -3 , z= 4 >
2 : pos=<x= 3 , y= -8 , z= -5 >, vel=<x= 0 , y= -1 , z= -4 >
3 : pos=<x= 2 , y= 5 , z= 2 >, vel=<x= -1 , y= 3 , z= 0 >
found velocity and position match, step #: 223
0 : pos=<x= 5 , y= 0 , z= 0 >, vel=<x= 3 , y= 0 , z= 1 >
1 : pos=<x= 2 , y= -10 , z= 7 >, vel=<x= 1 , y= 0 , z= 1 >
2 : pos=<x= 0 , y= -8 , z= -6 >, vel=<x= -3 , y= 0 , z= -1 >
3 : pos=<x= 1 , y= 5 , z= 1 >, vel=<x= -1 , y= 0 , z= -1 >
found velocity and position match, step #: 224
0 : pos=<x= 5 , y= -1 , z= 2 >, vel=<x= 0 , y= -1 , z= 2 >
1 : pos=<x= 2 , y= -7 , z= 5 >, vel=<x= 0 , y= 3 , z= -2 >
2 : pos=<x= 0 , y= -7 , z= -4 >, vel=<x= 0 , y= 1 , z= 2 >
3 : pos=<x= 1 , y= 2 , z= -1 >, vel=<x= 0 , y= -3 , z= -2 >
found velocity and position match, step #: 225
0 : pos=<x= 2 , y= -3 , z= 3 >, vel=<x= -3 , y= -2 , z= 1 >
1 : pos=<x= 1 , y= -2 , z= 0 >, vel=<x= -1 , y= 5 , z= -5 >
2 : pos=<x= 3 , y= -4 , z= 1 >, vel=<x= 3 , y= 3 , z= 5 >
3 : pos=<x= 2 , y= -4 , z= -2 >, vel=<x= 1 , y= -6 , z= -1 >
found velocity and position match, step #: 226
0 : pos=<x= -1 , y= -6 , z= 1 >, vel=<x= -3 , y= -3 , z= -2 >
1 : pos=<x= 3 , y= 0 , z= -4 >, vel=<x= 2 , y= 2 , z= -4 >
2 : pos=<x= 3 , y= 1 , z= 5 >, vel=<x= 0 , y= 5 , z= 4 >
3 : pos=<x= 3 , y= -8 , z= 0 >, vel=<x= 1 , y= -4 , z= 2 >
found velocity and position match, step #: 227
0 : pos=<x= -1 , y= -8 , z= -2 >, vel=<x= 0 , y= -2 , z= -3 >
1 : pos=<x= 4 , y= 1 , z= -5 >, vel=<x= 1 , y= 1 , z= -1 >
2 : pos=<x= 2 , y= 3 , z= 6 >, vel=<x= -1 , y= 2 , z= 1 >
3 : pos=<x= 3 , y= -9 , z= 3 >, vel=<x= 0 , y= -1 , z= 3 >
found velocity and position match, step #: 228
0 : pos=<x= 2 , y= -9 , z= -4 >, vel=<x= 3 , y= -1 , z= -2 >
1 : pos=<x= 2 , y= 1 , z= -3 >, vel=<x= -2 , y= 0 , z= 2 >
2 : pos=<x= 2 , y= 2 , z= 4 >, vel=<x= 0 , y= -1 , z= -2 >
3 : pos=<x= 2 , y= -7 , z= 5 >, vel=<x= -1 , y= 2 , z= 2 >
found velocity and position match, step #: 229
0 : pos=<x= 5 , y= -7 , z= -3 >, vel=<x= 3 , y= 2 , z= 1 >
1 : pos=<x= 0 , y= 0 , z= 0 >, vel=<x= -2 , y= -1 , z= 3 >
2 : pos=<x= 2 , y= -2 , z= 1 >, vel=<x= 0 , y= -4 , z= -3 >
3 : pos=<x= 1 , y= -4 , z= 4 >, vel=<x= -1 , y= 3 , z= -1 >
found velocity and position match, step #: 230
0 : pos=<x= 5 , y= -2 , z= 1 >, vel=<x= 0 , y= 5 , z= 4 >
1 : pos=<x= 1 , y= -4 , z= 4 >, vel=<x= 1 , y= -4 , z= 4 >
2 : pos=<x= 1 , y= -7 , z= -3 >, vel=<x= -1 , y= -5 , z= -4 >
3 : pos=<x= 1 , y= 0 , z= 0 >, vel=<x= 0 , y= 4 , z= -4 >
found velocity and position match, step #: 231
0 : pos=<x= 2 , y= 2 , z= 4 >, vel=<x= -3 , y= 4 , z= 3 >
1 : pos=<x= 3 , y= -7 , z= 5 >, vel=<x= 2 , y= -3 , z= 1 >
2 : pos=<x= 1 , y= -9 , z= -4 >, vel=<x= 0 , y= -2 , z= -1 >
3 : pos=<x= 2 , y= 1 , z= -3 >, vel=<x= 1 , y= 1 , z= -3 >
found velocity and position match, step #: 232
0 : pos=<x= -1 , y= 3 , z= 6 >, vel=<x= -3 , y= 1 , z= 2 >
1 : pos=<x= 2 , y= -9 , z= 3 >, vel=<x= -1 , y= -2 , z= -2 >
2 : pos=<x= 4 , y= -8 , z= -2 >, vel=<x= 3 , y= 1 , z= 2 >
3 : pos=<x= 3 , y= 1 , z= -5 >, vel=<x= 1 , y= 0 , z= -2 >
found velocity and position match, step #: 233
0 : pos=<x= -1 , y= 1 , z= 5 >, vel=<x= 0 , y= -2 , z= -1 >
1 : pos=<x= 2 , y= -8 , z= 0 >, vel=<x= 0 , y= 1 , z= -3 >
2 : pos=<x= 4 , y= -6 , z= 1 >, vel=<x= 0 , y= 2 , z= 3 >
3 : pos=<x= 3 , y= 0 , z= -4 >, vel=<x= 0 , y= -1 , z= 1 >
found velocity and position match, step #: 234
0 : pos=<x= 2 , y= -4 , z= 1 >, vel=<x= 3 , y= -5 , z= -4 >
1 : pos=<x= 3 , y= -4 , z= -2 >, vel=<x= 1 , y= 4 , z= -2 >
2 : pos=<x= 1 , y= -3 , z= 3 >, vel=<x= -3 , y= 3 , z= 2 >
3 : pos=<x= 2 , y= -2 , z= 0 >, vel=<x= -1 , y= -2 , z= 4 >
found velocity and position match, step #: 235
0 : pos=<x= 5 , y= -7 , z= -4 >, vel=<x= 3 , y= -3 , z= -5 >
1 : pos=<x= 1 , y= 2 , z= -1 >, vel=<x= -2 , y= 6 , z= 1 >
2 : pos=<x= 1 , y= -1 , z= 2 >, vel=<x= 0 , y= 2 , z= -1 >
3 : pos=<x= 1 , y= -7 , z= 5 >, vel=<x= -1 , y= -5 , z= 5 >
found velocity and position match, step #: 236
0 : pos=<x= 5 , y= -8 , z= -6 >, vel=<x= 0 , y= -1 , z= -2 >
1 : pos=<x= 0 , y= 5 , z= 1 >, vel=<x= -1 , y= 3 , z= 2 >
2 : pos=<x= 2 , y= 0 , z= 0 >, vel=<x= 1 , y= 1 , z= -2 >
3 : pos=<x= 1 , y= -10 , z= 7 >, vel=<x= 0 , y= -3 , z= 2 >
found velocity and position match, step #: 237
0 : pos=<x= 2 , y= -8 , z= -5 >, vel=<x= -3 , y= 0 , z= 1 >
1 : pos=<x= 2 , y= 5 , z= 2 >, vel=<x= 2 , y= 0 , z= 1 >
2 : pos=<x= 2 , y= 0 , z= -1 >, vel=<x= 0 , y= 0 , z= -1 >
3 : pos=<x= 2 , y= -10 , z= 6 >, vel=<x= 1 , y= 0 , z= -1 >
found velocity and position match, step #: 238
0 : pos=<x= -1 , y= -7 , z= -1 >, vel=<x= -3 , y= 1 , z= 4 >
1 : pos=<x= 4 , y= 2 , z= 2 >, vel=<x= 2 , y= -3 , z= 0 >
2 : pos=<x= 2 , y= -1 , z= -1 >, vel=<x= 0 , y= -1 , z= 0 >
3 : pos=<x= 3 , y= -7 , z= 2 >, vel=<x= 1 , y= 3 , z= -4 >
found velocity and position match, step #: 239
0 : pos=<x= -1 , y= -4 , z= 5 >, vel=<x= 0 , y= 3 , z= 6 >
1 : pos=<x= 3 , y= -4 , z= 0 >, vel=<x= -1 , y= -6 , z= -2 >
2 : pos=<x= 3 , y= -3 , z= 1 >, vel=<x= 1 , y= -2 , z= 2 >
3 : pos=<x= 3 , y= -2 , z= -4 >, vel=<x= 0 , y= 5 , z= -6 >
found velocity and position match, step #: 240
0 : pos=<x= 2 , y= 1 , z= 8 >, vel=<x= 3 , y= 5 , z= 3 >
1 : pos=<x= 1 , y= -8 , z= -1 >, vel=<x= -2 , y= -4 , z= -1 >
2 : pos=<x= 3 , y= -6 , z= 2 >, vel=<x= 0 , y= -3 , z= 1 >
3 : pos=<x= 2 , y= 0 , z= -7 >, vel=<x= -1 , y= 2 , z= -3 >
found velocity and position match, step #: 241
0 : pos=<x= 5 , y= 3 , z= 8 >, vel=<x= 3 , y= 2 , z= 0 >
1 : pos=<x= 2 , y= -9 , z= -1 >, vel=<x= 1 , y= -1 , z= 0 >
2 : pos=<x= 0 , y= -8 , z= 2 >, vel=<x= -3 , y= -2 , z= 0 >
3 : pos=<x= 1 , y= 1 , z= -7 >, vel=<x= -1 , y= 1 , z= 0 >
found velocity and position match, step #: 242
0 : pos=<x= 5 , y= 2 , z= 5 >, vel=<x= 0 , y= -1 , z= -3 >
1 : pos=<x= 2 , y= -7 , z= 0 >, vel=<x= 0 , y= 2 , z= 1 >
2 : pos=<x= 0 , y= -9 , z= 1 >, vel=<x= 0 , y= -1 , z= -1 >
3 : pos=<x= 1 , y= 1 , z= -4 >, vel=<x= 0 , y= 0 , z= 3 >
found velocity and position match, step #: 243
0 : pos=<x= 2 , y= -2 , z= -1 >, vel=<x= -3 , y= -4 , z= -6 >
1 : pos=<x= 1 , y= -4 , z= 2 >, vel=<x= -1 , y= 3 , z= 2 >
2 : pos=<x= 3 , y= -7 , z= -1 >, vel=<x= 3 , y= 2 , z= -2 >
3 : pos=<x= 2 , y= 0 , z= 2 >, vel=<x= 1 , y= -1 , z= 6 >
found velocity and position match, step #: 244
0 : pos=<x= -1 , y= -7 , z= -5 >, vel=<x= -3 , y= -5 , z= -4 >
1 : pos=<x= 3 , y= 0 , z= 2 >, vel=<x= 2 , y= 4 , z= 0 >
2 : pos=<x= 3 , y= -2 , z= -1 >, vel=<x= 0 , y= 5 , z= 0 >
3 : pos=<x= 3 , y= -4 , z= 6 >, vel=<x= 1 , y= -4 , z= 4 >
found velocity and position match, step #: 245
0 : pos=<x= -1 , y= -9 , z= -6 >, vel=<x= 0 , y= -2 , z= -1 >
1 : pos=<x= 4 , y= 1 , z= 1 >, vel=<x= 1 , y= 1 , z= -1 >
2 : pos=<x= 2 , y= 2 , z= 0 >, vel=<x= -1 , y= 4 , z= 1 >
3 : pos=<x= 3 , y= -7 , z= 7 >, vel=<x= 0 , y= -3 , z= 1 >
found velocity and position match, step #: 246
0 : pos=<x= 2 , y= -8 , z= -4 >, vel=<x= 3 , y= 1 , z= 2 >
1 : pos=<x= 2 , y= 1 , z= -1 >, vel=<x= -2 , y= 0 , z= -2 >
2 : pos=<x= 2 , y= 3 , z= 2 >, vel=<x= 0 , y= 1 , z= 2 >
3 : pos=<x= 2 , y= -9 , z= 5 >, vel=<x= -1 , y= -2 , z= -2 >
found velocity and position match, step #: 247
0 : pos=<x= 5 , y= -6 , z= 1 >, vel=<x= 3 , y= 2 , z= 5 >
1 : pos=<x= 0 , y= 0 , z= -2 >, vel=<x= -2 , y= -1 , z= -1 >
2 : pos=<x= 2 , y= 1 , z= 3 >, vel=<x= 0 , y= -2 , z= 1 >
3 : pos=<x= 1 , y= -8 , z= 0 >, vel=<x= -1 , y= 1 , z= -5 >
found velocity and position match, step #: 248
0 : pos=<x= 5 , y= -3 , z= 5 >, vel=<x= 0 , y= 3 , z= 4 >
1 : pos=<x= 1 , y= -2 , z= 0 >, vel=<x= 1 , y= -2 , z= 2 >
2 : pos=<x= 1 , y= -4 , z= 1 >, vel=<x= -1 , y= -5 , z= -2 >
3 : pos=<x= 1 , y= -4 , z= -4 >, vel=<x= 0 , y= 4 , z= -4 >
found velocity and position match, step #: 249
0 : pos=<x= 2 , y= -1 , z= 6 >, vel=<x= -3 , y= 2 , z= 1 >
1 : pos=<x= 3 , y= -7 , z= 3 >, vel=<x= 2 , y= -5 , z= 3 >
2 : pos=<x= 1 , y= -7 , z= -2 >, vel=<x= 0 , y= -3 , z= -3 >
3 : pos=<x= 2 , y= 2 , z= -5 >, vel=<x= 1 , y= 6 , z= -1 >
found velocity and position match, step #: 250
0 : pos=<x= -1 , y= 0 , z= 4 >, vel=<x= -3 , y= 1 , z= -2 >
1 : pos=<x= 2 , y= -10 , z= 5 >, vel=<x= -1 , y= -3 , z= 2 >
2 : pos=<x= 4 , y= -8 , z= -4 >, vel=<x= 3 , y= -1 , z= -2 >
3 : pos=<x= 3 , y= 5 , z= -3 >, vel=<x= 1 , y= 3 , z= 2 >
found velocity and position match, step #: 251
0 : pos=<x= -1 , y= 0 , z= 1 >, vel=<x= 0 , y= 0 , z= -3 >
1 : pos=<x= 2 , y= -10 , z= 4 >, vel=<x= 0 , y= 0 , z= -1 >
2 : pos=<x= 4 , y= -8 , z= -3 >, vel=<x= 0 , y= 0 , z= 1 >
3 : pos=<x= 3 , y= 5 , z= 0 >, vel=<x= 0 , y= 0 , z= 3 >
found velocity and position match, step #: 252
0 : pos=<x= 2 , y= -1 , z= -3 >, vel=<x= 3 , y= -1 , z= -4 >
1 : pos=<x= 3 , y= -7 , z= 0 >, vel=<x= 1 , y= 3 , z= -4 >
2 : pos=<x= 1 , y= -7 , z= 1 >, vel=<x= -3 , y= 1 , z= 4 >
3 : pos=<x= 2 , y= 2 , z= 4 >, vel=<x= -1 , y= -3 , z= 4 >
found velocity and position match, step #: 253
0 : pos=<x= 5 , y= -3 , z= -4 >, vel=<x= 3 , y= -2 , z= -1 >
1 : pos=<x= 1 , y= -2 , z= -3 >, vel=<x= -2 , y= 5 , z= -3 >
2 : pos=<x= 1 , y= -4 , z= 4 >, vel=<x= 0 , y= 3 , z= 3 >
3 : pos=<x= 1 , y= -4 , z= 5 >, vel=<x= -1 , y= -6 , z= 1 >
found velocity and position match, step #: 254
0 : pos=<x= 5 , y= -6 , z= -2 >, vel=<x= 0 , y= -3 , z= 2 >
1 : pos=<x= 0 , y= 0 , z= -5 >, vel=<x= -1 , y= 2 , z= -2 >
2 : pos=<x= 2 , y= 1 , z= 6 >, vel=<x= 1 , y= 5 , z= 2 >
3 : pos=<x= 1 , y= -8 , z= 3 >, vel=<x= 0 , y= -4 , z= -2 >
found velocity and position match, step #: 255
0 : pos=<x= 2 , y= -8 , z= 1 >, vel=<x= -3 , y= -2 , z= 3 >
1 : pos=<x= 2 , y= 1 , z= -4 >, vel=<x= 2 , y= 1 , z= 1 >
2 : pos=<x= 2 , y= 3 , z= 5 >, vel=<x= 0 , y= 2 , z= -1 >
3 : pos=<x= 2 , y= -9 , z= 0 >, vel=<x= 1 , y= -1 , z= -3 >
found velocity and position match, step #: 256
0 : pos=<x= -1 , y= -9 , z= 3 >, vel=<x= -3 , y= -1 , z= 2 >
1 : pos=<x= 4 , y= 1 , z= 0 >, vel=<x= 2 , y= 0 , z= 4 >
2 : pos=<x= 2 , y= 2 , z= 1 >, vel=<x= 0 , y= -1 , z= -4 >
3 : pos=<x= 3 , y= -7 , z= -2 >, vel=<x= 1 , y= 2 , z= -2 >
found velocity and position match, step #: 257
